AccountId,UsdAmount,duration
10141,5000.0,0
10150,24951.0,60
10158,10000.0,13
10164,10000.0,0
10169,2000.0,832
10173,680.0,822
10176,450.0,821
10183,500.0,819
10186,900.0,819
10190,350.0,819
10192,2000.0,818
10193,10000.0,0
10194,250.0,818
10195,500.0,818
10196,240.0,818
10198,500.0,817
10201,10.0,815
10203,250.0,814
10204,1000.0,814
10205,500.0,813
10207,200.0,813
10208,240.0,813
10210,10.0,813
10211,250.0,812
10213,250.0,808
10215,3260.0,807
10216,4900.0,807
10217,500.0,807
10220,6000.0,805
10224,500.0,803
10225,1950.0,803
10228,3700.0,801
10229,450.0,801
10230,500.0,801
10232,950.0,801
10236,1250.0,800
10238,500.0,800
10239,500.0,800
10240,2000.0,800
10244,250.0,799
10246,450.0,799
10251,2500.0,798
10252,450.0,797
10253,150.0,797
10254,2500.0,796
10256,2000.0,793
10263,10000.0,0
10264,2000.0,792
10266,2700.0,792
10268,450.0,792
10269,4000.0,792
10272,5000.0,791
10273,450.0,791
10276,300.0,790
10279,17000.0,1
10281,500.0,790
10284,499.0,789
10297,750.0,784
10298,5000.0,784
10304,5000.0,784
10306,5000.0,783
10314,400.0,779
10315,6000.0,778
10320,7000.0,777
10322,500.0,777
100000,2012002.0,570
100001,1000.0,447
100012,100002.0,1
100014,8500.0,772
100019,500.0,771
100021,111112213231.0,0
100028,3000.0,272
100031,200.0,0
100036,1000.0,270
100037,11000.0,800
100038,10.0,0
100039,5000.0,270
100040,708.0,0
100049,2300.0,0
100052,11500.0,265
100056,9900.0,0
100057,20590.0,0
100058,5000.0,264
100061,499.0,0
100063,1950.0,0
100064,2000.0,0
100066,3000.0,0
100067,2000.0,259
100068,500.0,259
100069,2.0,0
100071,500.0,0
100072,1200.0,0
100073,500.0,0
100074,47000.0,258
100075,500.0,0
100076,450.0,258
100077,600.0,0
100078,1000.0,257
100080,20000.0,257
100082,5000.0,257
100083,550.0,0
100085,2600.0,256
100086,4500.0,0
100087,500.0,0
100088,500.0,0
100089,750.0,255
100090,40801.0,118
100091,9000.0,253
100093,1.0,0
100094,5000.0,0
100096,500.0,0
100099,700.0,0
100100,333.0,0
100101,500.0,0
100104,2000.0,250
100107,1000.0,0
100108,500.0,247
100112,500.0,0
100114,500.0,0
100115,250.0,0
100116,1087.0,0
100117,250.0,0
100118,500.0,0
100119,490.0,0
100120,480.0,0
100124,56.0,643
100125,6190.0,22
100129,24700.0,594
100140,2500.0,29
100149,8100.0,398
100152,500.0,0
100155,7.163,0
100162,450.0,0
100194,500.0,0
100203,2600.0,0
100205,12.0,0
100212,240.0,1
100213,500.0,0
100223,5000.0,0
100237,6000.0,0
100239,5500.0,0
100240,500.0,0
100245,500.0,39
100250,480.0,0
100263,500.0,0
100264,550.0,228
100266,500.0,0
100310,1000.0,4
100347,35.0,0
100355,1193.84,0
100368,5000.0,0
100369,2500.0,0
100377,500.0,0
100379,145.0,12
100397,169.764,0
100415,500.0,0
100450,500.0,0
100452,450.0,0
100455,1193.84,0
100467,1987.9184,193
100470,1500.0,0
100493,500.0,0
100511,500.0,220
100568,500.0,0
100569,250.0,0
100574,1980.0,48
100580,2000.0,1
100581,500.0,0
100595,1000.0,33
100597,500.0,20
100598,5000.0,0
100648,500.0,0
100660,5000.0,0
100687,250.0,0
100688,179.076,0
100693,1000.0,214
100703,500.0,0
100728,1000.0,0
100773,500.0,0
100775,500.0,0
100783,600.0,0
100786,2000.0,211
100789,1500.0,0
100793,500.0,0
100794,1000.0,0
100817,333.0,0
100822,11000.0,0
100827,10.0,209
100828,500.0,209
100829,11000.0,209
100831,490.0,0
100850,100000.0,217
100861,596.92,187
100863,270039.9,761
100882,0.1194,0
100900,1.0,0
100915,5.0,0
100929,500.0,0
100932,1.0,0
100937,1.0,0
100939,450.0,0
100942,1500.0,206
100989,1000.0,0
101002,9.0,135
101004,596.92,0
101017,500.0,0
101023,200.0,0
101025,501.0,0
101046,5000.0,0
101050,332.0,0
101060,500.0,0
101079,500.0,0
101087,2626.448,483
101088,1200.0,0
101090,129.3,0
101091,1500.0,0
101094,500.0,0
101098,14500.0,201
101100,2000.0,0
101102,1.0,0
101104,2500.0,0
101105,500.0,0
101107,500.0,0
101110,510.0,0
101115,1000.0,0
101121,100.0,0
101123,1600.0,0
101125,1084.35,298
101133,2000.0,0
101140,1900.0,312
101144,18500.0,200
101145,5000.0,200
101146,500.0,0
101148,1.1938,0
101154,300.0,208
101179,60.0,0
101181,1750.0,0
101185,1200.0,0
101189,500.0,0
101193,5000.0,0
101221,700.0,20
101233,500.0,0
101251,2250.0,111
101295,100.0,0
101333,4000.0,197
101361,500.0,139
101365,2.0,0
101369,500.0,0
101393,200.0,0
101402,100.0,0
101404,14050.0,263
101407,500.0,7
101408,50.0,0
101412,1500.0,0
101422,500.0,0
101450,549.99,621
101451,750.0,0
101454,18000.0,193
101459,585.0,193
101479,1000.0,192
101496,2500.0,0
101507,100.0,0
101510,119.384,0
101521,120.5778,0
101523,11.9384,0
101526,12.0,0
101552,0.61,0
101585,500.0,0
101587,2000.0,0
101608,1100.0,1
101611,100.0,0
101616,50.0,0
101627,500.0,188
101630,100.0,0
101631,1200.0,0
101632,2000.0,187
101633,500.0,0
101639,78500.0,222
101642,599.3077,14
101646,50.0,5
101657,142500.0,172
101660,500.0,0
101667,1.0,0
101669,500.0,185
101676,120.0,0
101711,250.0,0
101715,250.0,0
101727,500.0,0
101730,265.0,0
101733,1000.0,181
101736,500.0,180
101739,500.0,0
101740,1000.0,0
101748,1000.0,0
101759,750.0,0
101762,17370.0,178
101770,3.0,0
101773,300.0,0
101778,1000.0,1
101781,100.0,0
101787,40700.0,162
101794,150.0,0
101817,499.0,173
101824,500.0,0
101834,16950.0,33
101840,1000.0,0
101842,10.0,0
101844,250.0,0
101854,1000.0,0
101855,4000.0,172
101859,4500.0,2
101860,500.0,0
101881,115.0,0
101889,5000.0,0
101892,250.0,0
101895,238.768,0
101896,2000.0,0
101897,1000.0,0
101905,40.0,0
101914,250.0,0
101916,250.0,0
101921,1000.0,0
101932,500.0,0
101971,10.0,0
101996,115.0,0
101998,25.0,0
102013,110.0,0
102018,250.0,0
102022,6260.0,161
102027,4500.0,0
102077,16500.0,363
102080,500.0,158
102087,2.0,0
102102,100000000.0,0
102119,50.0,0
102138,10.0,0
102172,499.0,0
102185,100.0,0
102199,10.0,0
102234,10.0,0
102296,580.0,54
102325,5755.7,262
102346,5000.0,327
102363,1210.0,85
102411,500.0,0
102417,596.92,50
102433,1000.0,41
102448,1500.0,0
102455,12500.0,27
102461,700.0,0
102468,1000.0,0
102483,990.0,0
102484,2000.0,0
102504,3500.0,81
102519,10.0,0
102525,11.9384,0
102534,100.0,0
102546,290.0,0
102552,950.0,0
102565,11500.0,82
102567,8200.0,597
102613,11000.0,20
102649,1000.0,35
102688,1200.0,0
102705,791.28,1
102719,100000.0,519
102733,500.0,0
102748,100.0,0
102750,3450.0,77
102791,600.0,0
102797,2414.0,91
102803,335.7779,243
102860,7000.0,148
102872,600.0,0
102885,500.0,0
102913,1007.8408000000001,44
102960,119.384,0
102984,2000.0,103
103069,250.0,0
103094,500.0,0
103096,10.0,0
103097,265.0,2
103116,537.9504999999999,8
103136,10.0,0
103168,1.0,0
103313,577.1875,0
103397,5500.0,196
103470,2259.5,10
103491,500.0,29
103512,596.92,0
103538,750.0,290
103666,250.0,0
103722,250.0,15
103732,400.0,145
103740,20.0,0
103778,410.0,34
103797,477.536,45
103805,500.0,0
103838,1200.0,1
103869,530.0,15
103907,1500.0,54
103914,250.0,91
103915,500.0,44
103935,22500.0,493
104054,2.0,0
104277,15500.0,78
104287,500.0,0
104303,1000.0,83
104352,550.0,17
104489,250.0,0
104508,1000.0,0
104612,5946.032400000001,584
104630,16311.0,434
104659,500.0,136
104789,500.0,31
104806,505.61,0
104824,250.0,161
104826,500.0,0
104845,119.384,9
104881,50.0,0
104983,503.15,31
105011,1000.0,0
105012,1000.0,0
105150,250.0,0
105206,54986.0,142
105211,500.0,32
105281,1.0,0
105282,302.0,55
105284,100.0,0
105287,300.0,0
105291,100.0,25
105393,250.0,107
105398,500.0,0
105404,500.0,0
105456,1.0,0
105490,500.0,87
105504,300.0,0
105593,250.0,32
105595,250.0,38
105600,90.1056,0
105605,500.0,0
105606,295.775,0
105647,508.35,0
105659,1.0,0
105660,1.1806,0
105678,2270.0,248
105695,500.0,7
105766,150.0,0
105792,500.0,73
105840,10.0,0
105878,5.12,71
105937,500.0,10
105940,240.0,0
105988,445.65,9
106102,200.0,0
106138,400.0,44
106155,6300.0,192
106160,500.0,19
106237,250.0,21
106282,350.0,0
106323,500.0,56
106335,500.0,78
106341,29.0,17
106343,1000.72,0
106351,4.0,0
106372,578.945,21
106374,579.39,21
106375,579.845,20
106376,579.745,20
106377,579.85,20
106378,580.215,0
106379,580.22,20
106380,580.35,20
106381,580.14,20
106382,580.045,20
106397,116.349,0
106461,257.356,11
106534,200.0,0
106536,266.2873,69
106542,250.0,32
106648,291.3625,0
106686,117.278,0
106688,234.482,0
106692,117.305,0
106698,250.0,0
106700,2.3443,0
106735,279.5688,0
106756,350.85299999999995,0
106808,10250.0,395
106822,250.0,86
106839,65430.0,176
106912,819.3789999999999,14
106999,260.0,0
107012,250.0,0
107111,1053.288,0
107309,1250.0,0
107316,201215.96490000002,363
107328,400.0,0
107342,4192.43,29
107465,250.0,11
107482,500.0,0
107496,505.35,41
107506,250.0,7
107525,255.585,20
107566,1400.0,61
107571,1596164.6699999995,319
107579,255.2066,0
107638,250.0,499
107808,500.0,0
107821,250.0,0
107886,500.0,43
107887,1166.13,98
107945,250.0,354
107972,250.0,11
107985,300.0,3
108030,4395.0,97
108044,250.0,173
108062,210.0,456
108072,250.0,3
108078,361.0285,8
108100,250.0,159
108105,474.46099999999996,414
108112,1000.0,90
108140,250.23,351
108218,520.0,111
108239,3697.0200000000004,508
108252,1000.0,0
108278,250.0,141
108280,250.0,47
108301,300.0,53
108308,250.0,10
108341,23.3848,1
108387,250.75,3
108404,240.0,6
108437,700.0,17
108446,266.9794,0
108452,1200.0,47
108456,250.0,141
108458,22228.18,66
108462,5765.3264,501
108473,22.8504,0
108533,2000.0,77
108539,234.0,0
108544,250.0,175
108546,2650.0,289
108596,245.0,0
108598,340.0,137
108631,500.1072,20
108783,585.5840000000001,59
108827,250.0,23
108836,999.52,56
108850,250.0,0
108864,250.0,73
108866,250.98,22
108868,289.85,0
108900,250.0,0
108927,500.0,37
108934,5705.62,490
109000,5000.0,22
109015,250.0,19
109022,250.0,25
109024,100.0,22
109025,1000.0,5
109031,50.0,0
109036,1453.35,95
109076,1100.0,191
109109,50.0,0
109112,250.0,27
109118,250.0,0
109143,250.0,362
109147,700.0,1
109150,20000.0,0
109151,10.0,0
109189,250.0,75
109203,250.0,0
109373,854.4,62
109407,250.0,0
109449,250.0,35
109467,10100.01,238
109482,250.0,3
109484,2000.0,11
109490,270.0,398
109551,89850.0,497
109579,7750.0,125
109583,10000.0,439
109591,500.0,49
109671,250.0,3
109678,250.0,0
109693,500.0,26
109714,250.0,14
109738,7500.0,150
109763,250.0,0
109766,20.0,0
109797,300.0,0
109834,245.0,152
109843,750.0,39
109918,1000.0,2
109943,500.0,204
110003,500.0,511
110007,500.0,0
110041,656.73,22
110079,507.0,14
110089,310.0,227
110095,250.0,0
110321,1889.0,303
110336,70.0,0
110337,920.0,130
110340,384.8856,33
110386,250.0,0
110396,34392.52999999999,312
110397,8900.0,93
110398,250.0,0
110499,3.0,0
110557,250.0,28
110621,5800.0,68
110629,1000.0,0
110660,500.0,0
110674,500.0,43
110690,250.0,26
110705,250.0,0
110712,250.0,19
110718,499.0,0
110728,250.0,0
110748,250.0,23
110786,250.0,0
110789,381.93,0
110793,3140.0,214
110830,250.0,125
110937,100.0,8
110967,10.0,0
111006,500.0,77
111119,500.0,21
111166,250.0,1
111181,3700.0,51
111217,95555.67,455
111221,250.0,90
111223,4274.0,477
111229,250.0,6
111245,1000.0,0
111283,250.0,17
111298,251.67,0
111329,5200.0,91
111337,250.0,79
111342,244.0,60
111354,250.0,0
111422,250.0,16
111447,250.0,0
111460,250.0,27
111538,250.0,0
111546,1000.0,0
111554,250.0,0
111735,870.0,372
111743,250.0,0
111803,500.0,72
111867,250.0,297
111897,12450.0,138
111934,250.0,0
112049,250.43,87
112059,300.0,38
112070,250.0,0
112083,260.0,40
112086,1000.0,298
112090,250.0,0
112244,250.0,0
112252,600.0,95
112273,250.0,6
112385,250.51,41
112411,1245.0,58
112413,250.0,29
112446,249.28,0
112491,595.0,439
112542,2.0,0
112562,250.18,35
112566,250.0,7
112641,255.72,0
112653,250.0,0
112720,250.0,0
112731,252.98,0
112732,251.39,83
112784,58579.04,370
112916,300.0,0
112969,320.0,0
112991,250.0,155
112994,250.0,29
113016,500.0,47
113045,250.0,0
113123,250.0,330
113129,1000.0,0
113139,1523.8065,62
113181,250.0,88
113200,250.0,12
113254,578.3,12
113265,250.0,12
113276,300.0,26
113280,255.178,9
113298,1500.0,169
113300,250.34,64
113431,300.0,0
113454,245.0,50
113467,255.9861,0
113495,500.0,0
113524,1510.0,316
113528,500.0,0
113538,250.0,9
113558,1051.9425,0
113577,45000.0,313
113578,1171.36,8
113613,250.0,0
113627,260.38,62
113633,5.0,0
